EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,MANAGER_ID,DEPARTMENT_ID
119,Karen,Colmenares,KCOLMENA,515.127.4566,10/25/2021,PU_CLERK,2500,114,30
120,Matthew,Weiss,MWEISS,650.123.1234,10/03/2018,ST_MAN,8000,100,50
121,Adam,Fripp,AFRIPP,650.123.2234,06/26/2019,ST_MAN,8200,100,50
122,Payam,Kaufling,PKAUFLIN,650.123.3234,07/16/2017,ST_MAN,7900,100,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,12/26/2019,ST_MAN,6500,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,01/31/2022,ST_MAN,5800,100,50
125,Julia,Nayer,JNAYER,650.124.1214,10/01/2019,ST_CLERK,3200,120,50
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,12/13/2020,ST_CLERK,2700,120,50
127,James,Landry,JLANDRY,650.124.1334,03/31/2021,ST_CLERK,2400,120,50
128,Steven,Markle,SMARKLE,650.124.1434,05/24/2022,ST_CLERK,2200,120,50
129,Laura,Bissot,LBISSOT,650.124.5234,11/05/2019,ST_CLERK,3300,121,50
130,Mozhe,Atkinson,MATKINSO,650.124.6234,01/15/2020,ST_CLERK,2800,121,50
131,James,Marlow,JAMRLOW,650.124.7234,05/04/2019,ST_CLERK,2500,121,50
132,TJ,Olson,TJOLSON,650.124.8234,06/25/2021,ST_CLERK,2100,121,50
133,Jason,Mallin,JMALLIN,650.127.1934,08/30/2018,ST_CLERK,3300,122,50
134,Michael,Rogers,MROGERS,650.127.1834,11/10/2020,ST_CLERK,2900,122,50
135,Ki,Gee,KGEE,650.127.1734,02/26/2022,ST_CLERK,2400,122,50
136,Hazel,Philtanker,HPHILTAN,650.127.1634,04/23/2022,ST_CLERK,2200,122,50
137,Renske,Ladwig,RLADWIG,650.121.1234,09/28/2017,ST_CLERK,3600,123,50
