EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,MANAGER_ID,DEPARTMENT_ID
100,Steven,King,SKING,515.123.4567,09/01/2009,AD_PRES,24000,,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,12/07/2011,AD_VP,17000,100,90
102,Lex,De Haan,LDEHAAN,515.123.4569,03/31/2015,AD_VP,17000,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,03/20/2012,IT_PROG,9000,102,60
104,Bruce,Ernst,BERNST,590.423.4568,08/05/2013,IT_PROG,6000,103,60
105,David,Austin,DAUSTIN,590.423.4569,09/10/2019,IT_PROG,4800,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,04/22/2020,IT_PROG,4800,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,04/24/2021,IT_PROG,4200,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,11/01/2016,FI_MGR,12000,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,10/31/2016,FI_ACCOUNT,9000,108,100
110,John,Chen,JCHEN,515.124.4269,12/14/2019,FI_ACCOUNT,8200,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,12/16/2019,FI_ACCOUNT,7700,108,100
112,Jose Manuel,Urman,JMURMAN,515.124.4469,05/22/2020,FI_ACCOUNT,7800,108,100
113,Luis,Popp,LPOPP,515.124.4567,02/21/2022,FI_ACCOUNT,6900,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,02/21/2017,PU_MAN,11000,100,30
115,Alexander,Khoo,AKHOO,515.127.4562,08/02/2017,PU_CLERK,3100,114,30
116,Shelli,Baida,SBAIDA,515.127.4563,03/10/2020,PU_CLERK,2900,114,30
117,Sigal,Tobias,STOBIAS,515.127.4564,10/09/2019,PU_CLERK,2800,114,30
118,Guy,Himuro,GHIMURO,515.127.4565,01/30/2021,PU_CLERK,2600,114,30
