EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,MANAGER_ID,DEPARTMENT_ID
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,06/08/2020,SA_REP,8600,149,80
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,07/08/2020,SA_REP,8400,149,80
178,Kimberely,Grant,KGRANT,011.44.1644.429263,08/08/2021,SA_REP,7000,149,
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,03/21/2022,SA_REP,6200,149,80
180,Winston,Taylor,WTAYLOR,650.507.9876,04/10/2020,SH_CLERK,3200,120,50
181,Jean,Fleaur,JFLEAUR,650.507.9877,05/10/2020,SH_CLERK,3100,120,50
182,Martha,Sullivan,MSULLIVA,650.507.9878,09/05/2021,SH_CLERK,2500,120,50
183,Girard,Geoni,GGEONI,650.507.9879,04/20/2022,SH_CLERK,2800,120,50
184,Nandita,Sarchand,NSARCHAN,650.509.1876,04/13/2018,SH_CLERK,4200,121,50
185,Alexis,Bull,ABULL,650.509.2876,05/08/2019,SH_CLERK,4100,121,50
186,Julia,Dellinger,JDELLING,650.509.3876,09/08/2020,SH_CLERK,3400,121,50
187,Anthony,Cabrio,ACABRIO,650.509.4876,04/24/2021,SH_CLERK,3000,121,50
188,Kelly,Chung,KCHUNG,650.505.1876,08/30/2019,SH_CLERK,3800,122,50
189,Jennifer,Dilly,JDILLY,650.505.2876,10/29/2019,SH_CLERK,3600,122,50
190,Timothy,Gates,TGATES,650.505.3876,09/25/2020,SH_CLERK,2900,122,50
191,Randall,Perkins,RPERKINS,650.505.4876,03/05/2022,SH_CLERK,2500,122,50
192,Sarah,Bell,SBELL,650.501.1876,04/21/2018,SH_CLERK,4000,123,50
193,Britney,Everett,BEVERETT,650.501.2876,05/19/2019,SH_CLERK,3900,123,50
194,Samuel,McCain,SMCCAIN,650.501.3876,09/15/2020,SH_CLERK,3200,123,50
195,Vance,Jones,VJONES,650.501.4876,06/01/2021,SH_CLERK,2800,123,50
196,Alana,Walsh,AWALSH,650.507.9811,07/09/2020,SH_CLERK,3100,124,50
197,Kevin,Feeney,KFEENEY,650.507.9822,08/07/2020,SH_CLERK,3000,124,50
198,Donald,OConnell,DOCONNEL,650.507.9833,09/05/2021,SH_CLERK,2600,124,50
199,Douglas,Grant,DGRANT,650.507.9844,03/30/2022,SH_CLERK,2600,124,50
200,Jennifer,Whalen,JWHALEN,515.123.4444,12/02/2009,AD_ASST,4400,101,10
201,Michael,Hartstein,MHARTSTE,515.123.5555,05/04/2018,MK_MAN,13000,100,20
202,Pat,Fay,PFAY,603.123.6666,11/02/2019,MK_REP,6000,201,20
203,Susan,Mavris,SMAVRIS,515.123.7777,08/22/2016,HR_REP,6500,101,40
204,Hermann,Baer,HBAER,515.123.8888,08/22/2016,PR_REP,10000,101,70
205,Shelley,Higgins,SHIGGINS,515.123.8080,08/22/2016,AC_MGR,12000,101,110
206,William,Gietz,WGIETZ,515.123.8181,08/22/2016,AC_ACCOUNT,8300,205,110
